label,seed,trigger_strategy,event_driven_freq,controller_freq,periodic_freq,threshold_confidence,TED_combined,TED_passenger,TED_freight,delay_ratio,n_delay_gt3min,n_delay_gt5min,max_end_delay,n_rescheduled,n_evaluated,n_skipped_no_improvement,total_solve_time_s,mean_solve_time_s,trigger_rate_pct,trigger_rate_mc_pct,n_platform_switches,n_fcfs_fallback,deadlock
H_1800_900_7200_c04,26,hybrid,1800.0,900.0,7200.0,0.4,41985.59999999996,37749.19999999999,4236.399999999973,0.6338856697115907,63,13,586.0,25,62,7,1.5498502254486084,0.061994009017944336,0.2292736610418195,40.32258064516129,14,0,False
H_1800_900_7200_c04,27,hybrid,1800.0,900.0,7200.0,0.4,42124.799999999974,37138.69999999998,4986.099999999993,0.7583261167958525,54,11,1427.0999999999913,25,63,6,1.6749062538146973,0.0669962501525879,0.2293788420956051,39.682539682539684,14,0,False
H_1800_900_7200_c04,28,hybrid,1800.0,900.0,7200.0,0.4,38645.29999999998,35668.79999999999,2976.4999999999895,0.4713452283597605,51,8,434.0,23,61,10,1.3125250339508057,0.057066305823948074,0.21137763073246943,37.704918032786885,14,0,False
H_1800_900_7200_c04,29,hybrid,1800.0,900.0,7200.0,0.4,47650.99999999997,41157.49999999999,6493.499999999982,0.8911515866748791,70,20,1548.0,22,66,6,1.4332029819488525,0.06514559008858421,0.20126246455036134,33.33333333333333,14,0,False
H_1800_900_7200_c04,30,hybrid,1800.0,900.0,7200.0,0.4,40081.79999999997,38223.19999999998,1858.5999999999815,0.2746506408052249,49,9,605.0,22,64,7,1.4491980075836182,0.06587263670834628,0.20209443321697593,34.375,13,0,False
H_1800_900_7200_c04,31,hybrid,1800.0,900.0,7200.0,0.4,44790.59999999998,41001.59999999999,3788.9999999999877,0.521969981552045,51,11,813.1000000000004,25,63,6,1.5636777877807617,0.06254711151123046,0.22918958562522918,39.682539682539684,12,0,False
H_1800_900_7200_c04,32,hybrid,1800.0,900.0,7200.0,0.4,47337.599999999904,42763.199999999924,4574.3999999999805,0.6042068830260532,76,13,1425.7999999999884,24,64,6,1.7489335536956787,0.07287223140398662,0.21996150673632117,37.5,10,0,False
H_1800_900_7200_c04,33,hybrid,1800.0,900.0,7200.0,0.4,41731.99999999998,35829.29999999998,5902.699999999999,0.9305380031071019,55,13,527.7999999999984,21,64,9,1.272571086883545,0.060598623184930714,0.19271359089657705,32.8125,12,0,False
H_1800_900_7200_c04,34,hybrid,1800.0,900.0,7200.0,0.4,43058.39999999998,36787.69999999998,6270.699999999997,0.962797855840911,61,15,572.2999999999993,26,59,9,1.8433876037597656,0.07089952322152945,0.23890471377377562,44.06779661016949,11,0,False
H_1800_900_7200_c04,35,hybrid,1800.0,900.0,7200.0,0.4,42401.39999999996,36347.09999999998,6054.299999999983,0.9408402701897899,58,17,628.1999999999989,21,64,7,1.307569980621338,0.062265237172444664,0.192748967416246,32.8125,12,0,False
H_1800_900_7200_c04,36,hybrid,1800.0,900.0,7200.0,0.4,39097.79999999998,37144.29999999999,1953.4999999999927,0.29705917045293373,40,12,443.0,27,60,7,1.685915231704712,0.06244130487795229,0.24816176470588233,45.0,13,0,False
H_1800_900_7200_c04,37,hybrid,1800.0,900.0,7200.0,0.4,44685.399999999965,39060.79999999998,5624.599999999986,0.8133401948070346,75,9,1431.2999999999884,26,59,9,1.8429312705993652,0.07088197194612943,0.2384227418615314,44.06779661016949,13,0,False
H_1800_900_7200_c04,38,hybrid,1800.0,900.0,7200.0,0.4,39785.39999999996,36610.49999999997,3174.899999999984,0.4898308312738578,58,11,443.0,20,63,9,1.2187070846557617,0.060935354232788085,0.18355359765051393,31.746031746031743,9,0,False
H_1800_900_7200_c04,39,hybrid,1800.0,900.0,7200.0,0.4,40539.59999999999,38734.1,1805.4999999999923,0.2632847775241675,58,10,444.0,24,62,8,1.5228848457336426,0.06345353523890178,0.2202036884117809,38.70967741935484,13,0,False
H_1800_900_7200_c04,40,hybrid,1800.0,900.0,7200.0,0.4,40758.19999999998,38388.19999999998,2369.9999999999986,0.34871636092844693,65,10,475.0,26,61,7,1.6064012050628662,0.06178466173318716,0.23818248442652987,42.62295081967213,13,0,False
H_1800_900_7200_c04,41,hybrid,1800.0,900.0,7200.0,0.4,39224.19999999999,36798.599999999984,2425.600000000007,0.3723142119059368,47,11,418.0,23,62,9,1.5057203769683838,0.06546610334645146,0.21110601193207895,37.096774193548384,16,0,False
H_1800_900_7200_c04,42,hybrid,1800.0,900.0,7200.0,0.4,48914.6999999999,38854.79999999992,10059.899999999981,1.4624152677983866,68,19,1493.0,23,64,5,1.4006710052490234,0.06089873935865319,0.2108930863744728,35.9375,12,0,False
H_1800_900_7200_c04,43,hybrid,1800.0,900.0,7200.0,0.4,40279.700000000004,36918.100000000006,3361.599999999999,0.5143140871577598,52,11,455.0,25,62,6,1.5928833484649658,0.06371533393859863,0.22975829427442332,40.32258064516129,13,0,False
H_1800_900_7200_c04,44,hybrid,1800.0,900.0,7200.0,0.4,41498.69999999998,38586.79999999999,2911.8999999999905,0.42624511918156255,62,10,491.0,30,60,4,1.9200005531311035,0.06400001843770345,0.2749014936314487,50.0,12,0,False
H_1800_900_7200_c04,45,hybrid,1800.0,900.0,7200.0,0.4,39474.399999999936,34937.49999999997,4536.899999999965,0.7334814051780012,56,9,1423.199999999997,20,63,9,1.1742677688598633,0.05871338844299316,0.1839418743676998,31.746031746031743,11,0,False
H_1800_900_7200_c04,46,hybrid,1800.0,900.0,7200.0,0.4,40750.29999999999,36472.299999999996,4277.999999999991,0.6625205526289348,61,15,1510.0,26,53,14,1.6500263214111328,0.0634625508235051,0.23883887562006245,49.056603773584904,14,0,False
H_1800_900_7200_c04,47,hybrid,1800.0,900.0,7200.0,0.4,41438.799999999996,39281.700000000004,2157.099999999993,0.3101713861838795,61,7,385.0,22,64,7,1.4433894157409668,0.06560860980640758,0.20168683535020168,34.375,12,0,False
H_1800_900_7200_c04,48,hybrid,1800.0,900.0,7200.0,0.4,40112.49999999999,37037.299999999996,3075.199999999994,0.4689815669341706,53,10,604.0,22,64,8,1.6839330196380615,0.07654240998354825,0.20209443321697593,34.375,11,0,False
H_1800_900_7200_c04,49,hybrid,1800.0,900.0,7200.0,0.4,40281.99999999998,36960.69999999999,3321.299999999991,0.507562636250674,64,10,454.0,24,61,9,1.6241559982299805,0.06767316659291585,0.22038567493112945,39.34426229508197,14,0,False
H_1800_900_7200_c08,0,hybrid,1800.0,900.0,7200.0,0.8,40865.49999999996,36591.49999999998,4273.999999999988,0.6597448846058481,63,14,1574.0,20,67,4,1.2625386714935303,0.06312693357467651,0.1835367532348353,29.850746268656714,12,0,False
H_1800_900_7200_c08,1,hybrid,1800.0,900.0,7200.0,0.8,38674.99999999996,36323.199999999975,2351.7999999999884,0.3657109893014203,51,4,404.0,21,66,7,1.4293010234832764,0.06806195349920363,0.1926605504587156,31.818181818181817,12,0,False
H_1800_900_7200_c08,2,hybrid,1800.0,900.0,7200.0,0.8,41008.599999999984,36126.399999999994,4882.19999999999,0.7633304845648159,48,15,1556.0,23,61,8,1.5586092472076416,0.0677656194438105,0.21120293847566576,37.704918032786885,15,0,False
H_1800_900_7200_c08,3,hybrid,1800.0,900.0,7200.0,0.8,36478.1,34675.0,1803.0999999999995,0.29371428571428565,46,7,425.0,21,63,9,1.5136947631835938,0.07208070300874256,0.19271359089657705,33.33333333333333,13,0,False
H_1800_900_7200_c08,4,hybrid,1800.0,900.0,7200.0,0.8,40484.19999999994,38490.29999999996,1993.8999999999814,0.2925996511237444,57,9,623.0,22,66,5,1.5774588584899902,0.07170267538590865,0.20153902528398682,33.33333333333333,13,0,False
H_1800_900_7200_c08,5,hybrid,1800.0,900.0,7200.0,0.8,42039.30000000001,39366.90000000001,2672.3999999999987,0.38343519416197197,58,9,467.0,22,67,4,1.4015326499938965,0.06370602954517711,0.2014098690835851,32.83582089552239,12,0,False
H_1800_900_7200_c08,6,hybrid,1800.0,900.0,7200.0,0.8,38201.09999999997,33960.599999999984,4240.499999999988,0.7052830387223756,48,12,1471.0,17,70,5,1.1840808391571045,0.06965181406806498,0.156063527035711,24.285714285714285,11,0,False
