seed,label,RESCHEDULING_HORIZON,CONFLICT_WINDOW,TED_combined,TED_passenger,TED_freight,delay_ratio,n_platform_switches,n_rescheduled,n_evaluated,n_skipped_no_improvement,total_steps,total_solve_time_s,mean_solve_time_s,trigger_rate_pct,trigger_rate_mc_pct,deadlock
23,RW1800_CW600,1800,600,38009.20000000001,36595.0,1414.2000000000112,0.21827842331189956,167,94,0,0,10876,1.473210096359253,0.015672447833609073,0.8642883413019492,9400.0,False
24,RW1800_CW600,1800,600,37638.69999999998,36592.899999999994,1045.799999999991,0.16142601854037544,163,95,0,0,10878,1.4826023578643799,0.015606340609098735,0.8733223018937305,9500.0,False
0,RW1800_CW1200,1800,1200,38181.999999999985,35030.2,3151.7999999999874,0.5082036278775073,239,94,0,0,10879,2.424060821533203,0.02578788108014046,0.8640500045960107,9400.0,False
1,RW1800_CW1200,1800,1200,40733.7,36916.600000000006,3817.0999999999945,0.5840278648879649,247,94,0,0,10891,2.5112009048461914,0.02671490324304459,0.8630979708015792,9400.0,False
2,RW1800_CW1200,1800,1200,41894.300000000025,38129.900000000016,3764.400000000008,0.5576373120583842,221,94,0,0,10886,2.22552227973938,0.023675768933397658,0.8634943964725336,9400.0,False
3,RW1800_CW1200,1800,1200,38729.599999999984,37536.4,1193.1999999999848,0.1795487363416071,216,93,0,0,10886,2.1757829189300537,0.023395515257312406,0.8543082858717619,9300.0,False
4,RW1800_CW1200,1800,1200,42223.49999999999,41203.90000000001,1019.5999999999863,0.13976976307240968,217,94,0,0,10913,2.465664863586426,0.026230477272196018,0.8613580133785393,9400.0,False
5,RW1800_CW1200,1800,1200,37471.5,36568.69999999999,902.8000000000093,0.13944525969290464,231,94,0,0,10894,2.1919989585876465,0.02331913785731539,0.8628602900679273,9400.0,False
6,RW1800_CW1200,1800,1200,32120.800000000003,31233.0,887.8000000000036,0.14762694131414,193,75,0,0,8394,132.09057569503784,1.761207675933838,0.8934953538241601,7500.0,True
7,RW1800_CW1200,1800,1200,39354.999999999985,36971.700000000004,2383.299999999982,0.3641086691582042,236,94,0,0,10901,2.2708165645599365,0.024157623027233368,0.8623062104394094,9400.0,False
8,RW1800_CW1200,1800,1200,38488.700000000004,37188.400000000016,1300.2999999999918,0.19749576879757125,214,93,0,0,10876,2.215754747390747,0.023825319864416637,0.8550937844795881,9300.0,False
9,RW1800_CW1200,1800,1200,34872.19999999999,33651.899999999994,1220.299999999995,0.20482301196911584,231,94,0,0,10874,2.1356067657470703,0.022719220912202874,0.8644473054993563,9400.0,False
10,RW1800_CW1200,1800,1200,37810.30000000002,35585.80000000001,2224.5000000000055,0.35308348391094957,237,94,0,0,10873,2.2916152477264404,0.024378885614111067,0.864526809528189,9400.0,False
11,RW1800_CW1200,1800,1200,43123.00000000001,41174.70000000002,1948.2999999999856,0.26726809221399134,203,94,0,0,10915,2.7093915939331055,0.02882331482907559,0.8612001832340815,9400.0,False
12,RW1800_CW1200,1800,1200,42928.39999999997,39498.59999999998,3429.799999999993,0.4904659021716327,231,94,0,0,10901,2.191584825515747,0.023314732186337735,0.8623062104394094,9400.0,False
13,RW1800_CW1200,1800,1200,40257.0,37459.9,2797.099999999998,0.4217577835393149,220,94,0,0,10875,2.1329450607299805,0.022690904901382772,0.864367816091954,9400.0,False
