mc_delay_per_train,seed,TED_combined,TED_passenger,TED_freight,n_rescheduled,n_evaluated,n_skipped,n_fcfs_fallback,total_solver_time
40,6,75039.79999999997,60735.69999999999,14304.099999999988,82,105,10724,0,0.6773545742034912
40,7,72706.79999999999,61349.3,11357.499999999989,81,106,10725,0,0.6724727153778076
40,8,69785.69999999995,59991.59999999997,9794.099999999982,79,107,10727,0,0.6464254856109619
40,9,72784.6,60858.8,11925.800000000003,83,104,10723,0,0.6858394145965576
40,10,70912.00000000001,60082.90000000001,10829.100000000006,82,106,10724,0,0.6982762813568115
40,11,85942.4,70002.59999999996,15939.800000000036,83,104,10723,0,0.7054834365844727
40,12,73846.29999999993,62618.89999999998,11227.399999999945,83,104,10723,0,0.6611979007720947
40,13,70881.99999999997,59959.7,10922.299999999967,82,105,10724,0,0.6933579444885254
40,14,70017.99999999997,59774.19999999998,10243.799999999992,81,106,10725,0,0.6736760139465332
40,15,72113.20000000001,58783.8,13329.400000000003,83,104,10723,0,0.6865050792694092
40,16,80944.09999999999,67180.2,13763.899999999989,83,105,10723,0,0.6936078071594238
40,17,72830.49999999994,61753.79999999996,11076.69999999998,83,105,10723,0,0.6970317363739014
40,18,75930.09999999998,63732.999999999985,12197.099999999997,80,108,10726,0,0.6973123550415039
40,19,74177.00000000006,61870.80000000002,12306.200000000037,81,106,10725,0,0.6726276874542236
40,20,73948.40000000001,60984.40000000001,12964.0,81,105,10725,0,0.6412918567657471
60,1,75088.0,62186.80000000004,12901.199999999968,79,108,10727,0,0.6287040710449219
60,2,87139.59999999998,69511.09999999998,17628.500000000004,77,110,10729,0,0.6669704914093018
60,3,79970.89999999997,63720.09999999998,16250.799999999988,82,105,10724,0,0.7123730182647705
60,4,75219.00000000003,62808.50000000003,12410.5,78,109,10728,0,0.7178444862365723
60,5,77491.29999999996,65317.90000000001,12173.399999999958,80,106,10726,0,0.6891374588012695
60,6,71072.40000000007,57463.400000000045,13609.000000000025,80,107,10726,0,0.6286320686340332
60,7,74318.20000000001,63644.0,10674.200000000019,80,107,10726,0,0.67598557472229
60,8,68258.49999999997,58830.099999999984,9428.399999999989,77,109,10729,0,0.6301717758178711
60,9,72499.19999991043,60427.0,12072.199999910423,80,107,10726,0,0.6593725681304932
60,10,74589.09999999999,62858.69999999999,11730.399999999998,81,106,10725,0,0.6757853031158447
60,11,76040.29999999983,61945.59999999994,14094.69999999989,78,108,10728,0,0.6685760021209717
60,13,78370.4,66591.9,11778.499999999993,78,109,10728,0,0.6739060878753662
60,14,76350.39999999997,65023.899999999965,11326.499999999993,77,110,10729,0,0.637598991394043
60,15,71234.19999999984,58671.799999999916,12562.399999999916,79,109,10727,0,0.627570390701294
60,16,68350.89999999998,55976.69999999999,12374.199999999995,78,110,10728,0,0.6424844264984131
60,17,75238.59999999993,63928.39999999998,11310.199999999955,83,105,10723,0,0.6838185787200928
60,18,70031.0,58937.499999999985,11093.50000000001,77,110,10729,0,0.6434035301208496
60,19,75622.99999999996,64538.89999999998,11084.09999999998,81,106,10725,0,0.6436290740966797
60,20,86998.50000000003,70095.90000000001,16902.600000000017,76,110,10730,0,0.7332186698913574
90,1,76020.59999999998,63527.69999999999,12492.89999999998,72,115,10734,0,0.644310712814331
90,2,73900.69999999997,62437.799999999974,11462.89999999999,72,115,10734,0,0.6575920581817627
90,3,71821.99999999996,59072.19999999999,12749.799999999965,75,112,10731,0,0.6562595367431641
90,4,71595.30000000002,59823.7,11771.600000000017,71,116,10735,0,0.5965723991394043
90,5,74488.89999999998,62033.1,12455.799999999981,75,111,10731,0,0.6239862442016602
90,6,71597.4,57112.49999999999,14484.900000000001,76,113,10730,0,0.6207258701324463
90,7,76279.5,64139.60000000002,12139.89999999998,76,112,10730,0,0.6090166568756104
90,8,71174.79999999992,61939.89999999996,9234.89999999996,75,111,10731,0,0.6086461544036865
90,9,71588.09999985519,59622.5,11965.599999855182,78,109,10728,0,0.6469407081604004
90,10,70294.4,59654.700000000004,10639.699999999993,79,107,10727,0,0.6590392589569092
90,11,74585.70000000001,62951.6,11634.100000000008,73,113,10733,0,0.5973081588745117
90,12,76943.20000000001,64269.80000000002,12673.399999999992,76,111,10730,0,0.6777632236480713
90,13,79578.09999999999,67768.0,11810.099999999995,74,113,10732,0,0.6600344181060791
90,14,71519.29999999999,60958.90000000003,10560.39999999995,71,116,10735,0,0.608257532119751
90,15,72966.6999999998,60853.099999999875,12113.599999999913,75,112,10731,0,0.6656441688537598
90,16,77352.1,63849.50000000002,13502.59999999999,77,111,10729,0,0.6457483768463135
90,17,74539.19999999995,62737.19999999997,11801.99999999998,76,111,10730,0,0.6386969089508057
90,18,75242.80000000002,61817.500000000015,13425.300000000005,74,112,10732,0,0.6904332637786865
90,19,75779.60000000002,64069.70000000002,11709.899999999998,71,116,10735,0,0.5930745601654053
90,20,80071.80000000002,70135.60000000002,9936.2,72,113,10734,0,0.6423089504241943
120,1,75703.9,64538.2,11165.7,68,118,10738,0,0.5943126678466797
120,2,74402.09999999998,62784.500000000015,11617.599999999962,66,121,10740,0,0.5995769500732422
120,3,73486.09999999993,60173.89999999996,13312.19999999997,69,118,10737,0,0.5564429759979248
120,4,76281.90000000001,62953.40000000001,13328.5,69,118,10737,0,0.5863184928894043
120,5,75819.09999999999,64598.19999999998,11220.900000000012,67,118,10739,0,0.5971579551696777
120,6,78716.8,59488.3,19228.499999999996,71,117,10735,0,0.5807821750640869
120,7,71746.49999999994,59764.19999999999,11982.29999999996,69,118,10737,0,0.5925109386444092
120,8,72058.39999999992,62075.49999999995,9982.899999999974,70,116,10736,0,0.58382248878479
120,9,69340.29999999999,57898.40000000001,11441.899999999987,69,118,10737,0,0.5700960159301758
120,10,69073.99999999997,59188.39999999998,9885.599999999999,72,114,10734,0,0.6396312713623047
120,11,77335.79999999997,64332.299999999974,13003.499999999998,69,117,10737,0,0.6126985549926758
120,12,76199.20000000003,63465.000000000015,12734.200000000013,68,119,10738,0,0.633979320526123
120,13,73845.7999999999,62766.999999999956,11078.799999999941,65,122,10741,0,0.612316370010376
120,14,72284.6,62181.700000000026,10102.899999999987,68,119,10738,0,0.5757520198822021
120,15,75525.00000000003,61270.600000000006,14254.400000000018,67,120,10739,0,0.5521690845489502
120,16,76317.19999999998,62936.600000000006,13380.599999999982,69,120,10737,0,0.6315193176269531
120,17,78067.29999999997,64645.0,13422.299999999968,69,118,10737,0,0.5777223110198975
120,18,76976.69999999998,65296.700000000026,11679.999999999955,66,120,10740,0,0.5833988189697266
120,19,76115.19999999995,65262.89999999998,10852.299999999977,68,119,10738,0,0.6190705299377441
120,20,71687.00000000001,60631.700000000026,11055.29999999999,68,117,10738,0,0.6309356689453125
180,1,74815.6000000001,63072.30000000008,11743.30000000001,54,132,10752,0,0.46170926094055176
180,2,73337.4,61761.89999999998,11575.500000000007,55,131,10751,0,0.4704930782318115
180,3,72896.79999999987,62365.699999999924,10531.09999999995,50,137,10756,0,0.41666293144226074
180,5,76093.49999999997,64655.89999999998,11437.599999999991,49,136,10757,0,0.4292178153991699
180,6,84468.29999999999,65042.29999999999,19425.999999999996,56,129,10750,0,0.47466468811035156
180,7,76767.29999999999,64419.30000000001,12347.999999999985,55,132,10751,0,0.477433443069458
180,8,69276.87660574362,60310.27660574367,8966.599999999953,53,132,10753,0,0.48626232147216797
180,9,71102.60000000005,59537.200000000026,11565.400000000023,55,132,10751,0,0.4374866485595703
180,10,70587.0,60210.70000000001,10376.299999999996,52,134,10754,0,0.40494561195373535
180,11,73412.79999999999,60956.79999999996,12456.000000000024,51,134,10755,0,0.4369699954986572
180,13,75347.4,63807.70000000001,11539.699999999979,50,137,10756,0,0.4731407165527344
180,14,73289.6999999999,63019.299999999945,10270.399999999958,50,137,10756,0,0.43825674057006836
180,15,75142.7,63409.10000000002,11733.599999999975,53,133,10753,0,0.4559366703033447
180,16,73829.90000000001,59889.70000000001,13940.199999999992,53,135,10753,0,0.47217798233032227
180,17,76520.1,64606.2,11913.900000000007,50,137,10756,0,0.44590091705322266
180,18,76954.19999999995,65824.09999999999,11130.099999999964,52,135,10754,0,0.43777036666870117
180,19,75723.19999999995,64758.19999999998,10964.999999999978,55,132,10751,0,0.5238094329833984
180,20,80606.2999999998,68889.20000000001,11717.09999999979,53,132,10753,0,0.5485024452209473
240,1,72752.19999999997,62096.59999999998,10655.599999999988,29,157,10777,0,0.25631022453308105
240,2,84927.3999999999,71426.29999999993,13501.099999999977,41,146,10765,0,0.3499729633331299
240,3,75364.9,63327.1,12037.79999999999,36,150,10770,0,0.32179951667785645
240,4,81293.19999999994,69012.99999999999,12280.199999999957,39,147,10767,0,0.32909703254699707
240,5,81979.30000000002,69590.1,12389.200000000012,38,147,10768,0,0.3386039733886719
240,6,88654.59999999995,69742.79999999997,18911.799999999967,35,150,10771,0,0.32251548767089844
240,7,83973.89999999995,68620.3,15353.59999999995,31,154,10775,0,0.2628304958343506
240,8,72594.29999999999,62113.3,10480.99999999999,36,149,10770,0,0.3073000907897949
240,9,79989.1,66473.70000000001,13515.399999999998,34,153,10772,0,0.3020775318145752
240,10,78827.00000000001,66359.9,12467.100000000019,37,149,10769,0,0.3225257396697998
240,11,79620.30000000005,65807.70000000004,13812.600000000004,36,150,10770,0,0.3269989490509033
240,12,80252.00000000004,68104.00000000003,12148.000000000018,36,149,10770,0,0.3372981548309326
240,13,77853.69999999998,66267.0,11586.69999999999,39,148,10767,0,0.341738224029541
240,14,78118.49999999997,66610.9,11507.599999999984,38,149,10768,0,0.331500768661499
240,15,74039.30000000002,62716.2,11323.100000000022,36,150,10770,0,0.3159351348876953
240,16,77757.70000000001,67976.1,9781.600000000004,38,148,10768,0,0.34856653213500977
240,17,80523.39999999998,69182.20000000001,11341.199999999966,43,143,10763,0,0.35240793228149414
240,18,80993.79999999999,68733.6,12260.199999999977,35,151,10771,0,0.2890889644622803
240,19,79035.59999999996,68147.29999999999,10888.299999999974,35,151,10771,0,0.30240368843078613
240,20,78665.39999999997,67160.59999999996,11504.799999999996,32,153,10774,0,0.3191690444946289
300,1,80969.59999999999,69042.99999999999,11926.600000000006,25,161,10781,0,0.24890661239624023
300,2,87743.49999999996,72585.09999999996,15158.399999999994,24,162,10782,0,0.18988299369812012
300,3,76702.89999999992,64180.99999999996,12521.899999999961,23,163,10783,0,0.20898914337158203
300,4,81973.6999999999,70490.59999999995,11483.099999999944,25,161,10781,0,0.2079486846923828
300,5,80830.39999999998,68609.09999999998,12221.300000000007,25,159,10781,0,0.2189652919769287
300,6,81191.19999999995,68971.49999999997,12219.699999999983,20,165,10786,0,0.17376947402954102
300,7,84892.00000000001,69268.80000000003,15623.199999999977,21,164,10785,0,0.17846131324768066
300,8,82195.29999999994,70820.4,11374.899999999956,21,164,10785,0,0.19068670272827148
300,10,77157.10000000005,66399.30000000003,10757.800000000017,21,164,10785,0,0.1695849895477295
300,11,82786.90000000004,68847.00000000003,13939.900000000003,24,161,10782,0,0.20037341117858887
300,12,84238.89999999997,70621.89999999998,13616.999999999987,20,165,10786,0,0.25086045265197754
300,13,79198.2999999999,68667.09999999995,10531.19999999996,26,160,10780,0,0.211273193359375
300,14,74994.6,65971.9,9022.700000000015,19,167,10787,0,0.1954801082611084
300,15,79830.79999999987,69982.99999999993,9847.799999999948,16,170,10790,0,0.1388990879058838
300,16,81367.99999999997,69797.39999999998,11570.599999999997,25,162,10781,0,0.2240307331085205
300,17,75709.7,64962.899999999994,10746.800000000005,25,161,10781,0,0.19174885749816895
300,18,77583.7,66922.3,10661.399999999989,21,164,10785,0,0.16859221458435059
300,19,76311.59999999992,66527.79999999993,9783.799999999996,26,160,10780,0,0.22789692878723145
300,20,85698.50000000001,73853.5,11845.000000000018,20,165,10786,0,0.19684076309204102
