mc_delay_per_train,threshold_confidence,seed,n_rescheduled,n_evaluated,n_skipped,n_fcfs_fallback,triggered_%,TED_combined,total_solver_time
180,0.4,3,56,130,10750,0,43.08,73110.29999999996,0.5336577892303467
180,0.4,4,58,129,10748,0,44.96,78854.79999999999,0.49135756492614746
180,0.4,5,60,128,10746,0,46.88,83229.40000000002,0.5054717063903809
180,0.4,6,59,127,10747,0,46.46,79225.09999999995,0.5272355079650879
180,0.4,7,58,129,10748,0,44.96,72108.9999999999,0.4636368751525879
180,0.4,8,59,126,10747,0,46.83,69444.69999999994,0.4806337356567383
180,0.4,9,60,127,10746,0,47.24,74456.10000000006,0.5116009712219238
180,0.4,10,58,128,10748,0,45.31,73949.99999999997,0.55049729347229
180,0.4,11,61,124,10745,0,49.19,74135.90000000001,0.5685973167419434
180,0.4,12,57,130,10749,0,43.85,81360.0,0.5313801765441895
180,0.4,13,57,130,10749,0,43.85,71626.09999999999,0.5233256816864014
180,0.4,14,62,125,10744,0,49.6,73183.20000000001,0.525738000869751
180,0.4,15,59,128,10747,0,46.09,75880.39999999994,0.5087707042694092
180,0.4,16,62,127,10744,0,48.82,78113.99999999999,0.5288858413696289
180,0.4,17,60,126,10746,0,47.62,79498.70000000001,0.4955477714538574
180,0.4,18,59,127,10747,0,46.46,74128.7,0.5549821853637695
180,0.4,19,59,128,10747,0,46.09,76774.19999999998,0.4943060874938965
180,0.4,20,61,124,10745,0,49.19,81977.90000000001,0.5915367603302002
180,0.6,1,54,132,10752,0,40.91,74815.6000000001,0.4619882106781006
180,0.6,2,55,131,10751,0,41.98,73337.4,0.4533958435058594
180,0.6,3,50,137,10756,0,36.5,72896.79999999987,0.42480921745300293
180,0.6,5,49,136,10757,0,36.03,76093.49999999997,0.42966246604919434
180,0.6,6,56,129,10750,0,43.41,84468.29999999999,0.5083606243133545
180,0.6,7,55,132,10751,0,41.67,76767.29999999999,0.4786677360534668
180,0.6,8,53,132,10753,0,40.15,69276.87660574362,0.4644784927368164
180,0.6,9,55,132,10751,0,41.67,71102.60000000005,0.4378502368927002
180,0.6,10,52,134,10754,0,38.81,70587.0,0.40828919410705566
180,0.6,11,51,134,10755,0,38.06,73412.79999999999,0.4494483470916748
