seed,label,RESCHEDULING_HORIZON,CONFLICT_WINDOW,SWITCH_PENALTY,RETRACK_CONFLICT_WINDOW,min_objective_improvement,TED_combined,TED_passenger,TED_freight,delay_ratio,n_platform_switches,n_rescheduled,n_evaluated,n_skipped_no_improvement,total_steps,total_solve_time_s,mean_solve_time_s,trigger_rate_pct,trigger_rate_mc_pct,deadlock,retrack_conflict_window
2,RCW600,3600,1200,0.0,600,-10000.0,41875.3,38095.4,3779.900000000001,0.5604404835125605,198,93,0,0,10887,4.325665473937988,0.0465125319778278,0.8542298153761366,9300.0,False,600
3,RCW600,3600,1200,0.0,600,-10000.0,37680.999999999985,36235.09999999999,1445.899999999991,0.2253878600680445,197,93,0,0,10880,4.336744785308838,0.0466316643581595,0.854779411764706,9300.0,False,600
4,RCW600,3600,1200,0.0,600,-10000.0,43365.40000000001,42212.7,1152.700000000008,0.1542392442334887,190,94,0,0,10911,4.825164079666138,0.0513315327624057,0.8615159013839244,9400.0,False,600
5,RCW600,3600,1200,0.0,600,-10000.0,42245.20000000003,39530.50000000002,2714.7000000000144,0.3878923924508997,177,94,0,0,10887,4.342320442199707,0.0461948983212734,0.8634150822081382,9400.0,False,600
6,RCW600,3600,1200,0.0,600,-10000.0,37488.49999999999,34461.899999999994,3026.5999999999976,0.4960638008612725,186,94,0,0,10866,4.31120753288269,0.0458639099242839,0.8650837474691699,9400.0,False,600
7,RCW600,3600,1200,0.0,600,-10000.0,38780.49999999997,36106.99999999997,2673.499999999999,0.4182255000932822,224,94,0,0,10875,4.237592458724976,0.0450807708374997,0.864367816091954,9400.0,False,600
8,RCW600,3600,1200,0.0,600,-10000.0,38906.70000000001,35749.00000000001,3157.700000000006,0.498917452236427,186,93,0,0,10866,4.2581260204315186,0.0457863012949625,0.8558807288790724,9300.0,False,600
9,RCW600,3600,1200,0.0,600,-10000.0,36545.80000000001,35063.600000000006,1482.2000000000037,0.2387657517535801,184,94,0,0,10863,4.2888805866241455,0.0456263892194058,0.8653226548835496,9400.0,False,600
10,RCW600,3600,1200,0.0,600,-10000.0,36713.19999999998,34157.8,2555.3999999999796,0.42256227866542,226,94,0,0,10869,4.33896279335022,0.0461591786526619,0.8648449719385408,9400.0,False,600
11,RCW600,3600,1200,0.0,600,-10000.0,38488.0,36172.99999999999,2315.0000000000045,0.3614832628185137,178,94,0,0,10871,4.272966384887695,0.0454570892009329,0.8646858614662865,9400.0,False,600
12,RCW600,3600,1200,0.0,600,-10000.0,46863.49999999996,41582.599999999984,5280.899999999982,0.7173284070688253,216,94,0,0,10908,4.323778390884399,0.045997642456217,0.8617528419508618,9400.0,False,600
13,RCW600,3600,1200,0.0,600,-10000.0,41538.39999999998,37694.199999999975,3844.200000000004,0.5760407013968579,198,94,0,0,10878,4.400656938552856,0.0468154993463069,0.8641294355580069,9400.0,False,600
14,RCW600,3600,1200,0.0,600,-10000.0,11349.4,10967.0,382.4000000000019,0.0769863144789909,66,36,0,0,2415,126.37208795547484,3.510335776540968,1.4906832298136643,3600.0,True,600
15,RCW600,3600,1200,0.0,600,-10000.0,38351.7,36940.5,1411.1999999999994,0.2157781796714674,179,95,0,0,10874,4.241751432418823,0.0446500150780928,0.8736435534302004,9500.0,False,600
