seed,label,RESCHEDULING_HORIZON,CONFLICT_WINDOW,TED_combined,TED_passenger,TED_freight,delay_ratio,n_platform_switches,n_rescheduled,n_evaluated,n_skipped_no_improvement,total_steps,total_solve_time_s,mean_solve_time_s,trigger_rate_pct,trigger_rate_mc_pct,deadlock
19,RW1800_CW1800,1800,1800,43288.39999999999,40702.29999999998,2586.100000000004,0.3588790362658186,153,94,0,0,10889,1.929993152618408,0.020531842049132,0.8632564973826797,9400.0,False
20,RW1800_CW1800,1800,1800,40840.4,38152.99999999999,2687.4000000000087,0.3978554823940522,143,93,0,0,10885,1.9678490161895752,0.0211596668407481,0.8543867707854846,9300.0,False
21,RW1800_CW1800,1800,1800,40896.89999999998,38806.79999999998,2090.099999999998,0.304215234964485,165,94,0,0,10883,2.0573394298553467,0.0218865896793121,0.8637324267205734,9400.0,False
22,RW1800_CW1800,1800,1800,36995.699999999975,35704.89999999999,1290.7999999999856,0.204198648020082,159,94,0,0,10869,1.9468867778778076,0.0207115614667851,0.8648449719385408,9400.0,False
23,RW1800_CW1800,1800,1800,38638.20000000002,37482.20000000001,1156.0000000000073,0.1742025416196099,140,94,0,0,10890,1.9929909706115725,0.0212020316022507,0.8631772268135905,9400.0,False
24,RW1800_CW1800,1800,1800,38096.79999999998,35634.59999999999,2462.1999999999907,0.3902771864584246,164,94,0,0,10868,1.942317008972168,0.0206629469039592,0.8649245491350755,9400.0,False
0,RW3600_CW600,3600,600,38722.19999999998,37296.59999999999,1425.5999999999922,0.2158987711987169,125,94,0,0,10888,2.4846441745758057,0.0264323848359128,0.8633357825128581,9400.0,False
1,RW3600_CW600,3600,600,39523.49999999999,38041.399999999994,1482.0999999999997,0.2200608278880897,109,95,0,0,10901,2.6972060203552246,0.0283916423195286,0.8714796807632328,9500.0,False
2,RW3600_CW600,3600,600,45151.499999999985,42524.499999999985,2627.0000000000027,0.3489334332025021,141,93,0,0,10900,2.641916036605835,0.0284076993183423,0.8532110091743119,9300.0,False
3,RW3600_CW600,3600,600,35493.699999999975,34276.59999999999,1217.099999999984,0.2005627393384613,116,93,0,0,10868,2.4381489753723145,0.0262166556491646,0.8557232241442768,9300.0,False
4,RW3600_CW600,3600,600,41438.49999999999,40151.0,1287.4999999999895,0.1811225809382752,102,94,0,0,10918,2.5818068981170654,0.0274660308310326,0.8609635464370763,9400.0,False
