seed,label,RESCHEDULING_HORIZON,CONFLICT_WINDOW,RETRACK_CONFLICT_WINDOW,SWITCH_PENALTY,min_objective_improvement,TED_combined,TED_passenger,TED_freight,delay_ratio,n_platform_switches,n_rescheduled,n_evaluated,n_skipped_no_improvement,total_steps,total_solve_time_s,mean_solve_time_s,trigger_rate_pct,trigger_rate_mc_pct,deadlock,switch_penalty,min_obj_improvement
24,SP0_MOI180,3600,1200,900,0.0,180.0,39122.699999999975,36110.999999999985,3011.699999999988,0.471079190810019,99,25,0,69,10873,1.587836980819702,0.063513479232788,0.2299273429596247,2500.0,False,0,180
0,SP0_MOI300,3600,1200,900,0.0,300.0,44145.299999999945,41528.89999999995,2616.3999999999915,0.3558569394505325,74,19,0,75,10922,1.3657350540161133,0.0718807923166375,0.1739608130379051,1900.0,False,0,300
1,SP0_MOI300,3600,1200,900,0.0,300.0,38106.49999999999,33839.7,4266.799999999996,0.7121926853130138,55,15,0,79,10872,1.0240719318389893,0.0682714621225992,0.1379690949227373,1500.0,False,0,300
2,SP0_MOI300,3600,1200,900,0.0,300.0,41598.89999999999,37408.299999999974,4190.600000000011,0.6327468079966879,60,19,0,74,10910,1.308854341506958,0.0688870706056293,0.1741521539871677,1900.0,False,0,300
3,SP0_MOI300,3600,1200,900,0.0,300.0,37196.59999999998,35434.89999999998,1761.6999999999937,0.2808164013134245,50,16,0,77,10893,1.0499203205108645,0.065620020031929,0.1468833195630221,1600.0,False,0,300
4,SP0_MOI300,3600,1200,900,0.0,300.0,37315.59999999996,35829.99999999997,1485.5999999999883,0.23419456346054,48,14,0,80,10888,0.956169366836548,0.0682978119168962,0.1285819250551065,1400.0,False,0,300
5,SP0_MOI300,3600,1200,900,0.0,300.0,38898.49999999995,36060.89999999997,2837.599999999986,0.4444637443148276,57,15,0,79,10884,0.9947912693023682,0.0663194179534912,0.1378169790518191,1500.0,False,0,300
6,SP0_MOI300,3600,1200,900,0.0,300.0,41600.69999999995,36969.299999999974,4631.399999999978,0.7076080916916392,65,17,0,77,10904,1.0948808193206787,0.0644047540776869,0.1559060895084372,1700.0,False,0,300
7,SP0_MOI300,3600,1200,900,0.0,300.0,38126.79999999996,36266.79999999998,1859.999999999979,0.2896846169481166,63,18,0,76,10889,1.2802953720092771,0.071127520667182,0.1653044356690237,1800.0,False,0,300
8,SP0_MOI300,3600,1200,900,0.0,300.0,36460.199999999975,33456.79999999999,3003.3999999999887,0.5070496682485858,52,15,0,78,10865,0.9460494518280028,0.0630699634552001,0.1380579843534284,1500.0,False,0,300
9,SP0_MOI300,3600,1200,900,0.0,300.0,39688.29999999994,37208.59999999996,2479.699999999978,0.3764242025342924,57,17,0,77,10887,1.1122941970825195,0.0654290704166188,0.156149536144025,1700.0,False,0,300
10,SP0_MOI300,3600,1200,900,0.0,300.0,36401.19999999998,33621.399999999994,2779.7999999999847,0.4670027991721887,64,20,0,74,10881,1.458512783050537,0.0729256391525268,0.1838066354195386,2000.0,False,0,300
11,SP0_MOI300,3600,1200,900,0.0,300.0,41042.99999999997,38744.599999999984,2298.3999999999905,0.3350704724934927,66,20,0,74,10922,1.37149977684021,0.0685749888420104,0.183116645303058,2000.0,False,0,300
12,SP0_MOI300,3600,1200,900,0.0,300.0,52010.69999999999,51028.8,981.8999999999896,0.088770106292916,51,13,0,54,7329,189.12171959877017,14.54782458452078,0.1773775412743894,1300.0,True,0,300
13,SP0_MOI300,3600,1200,900,0.0,300.0,42065.29999999996,39388.39999999995,2676.9000000000083,0.3838712038943596,58,17,0,77,10922,1.1484417915344238,0.0675553995020249,0.1556491485075993,1700.0,False,0,300
14,SP0_MOI300,3600,1200,900,0.0,300.0,38626.29999999997,34482.09999999997,4144.199999999995,0.6788420340147175,69,20,0,74,10889,1.3504889011383057,0.0675244450569152,0.1836715951878042,2000.0,False,0,300
15,SP0_MOI300,3600,1200,900,0.0,300.0,38507.29999999996,36321.49999999998,2185.7999999999797,0.3399134681377951,47,16,0,77,10895,1.0799367427825928,0.067496046423912,0.1468563561266636,1600.0,False,0,300
16,SP0_MOI300,3600,1200,900,0.0,300.0,39888.59999999997,37231.59999999998,2656.9999999999936,0.4030895886738766,53,16,0,78,10913,1.115149974822998,0.0696968734264373,0.1466141299367726,1600.0,False,0,300
