seed,label,RESCHEDULING_HORIZON,CONFLICT_WINDOW,SWITCH_PENALTY,RETRACK_CONFLICT_WINDOW,DISPATCHER_PRIORITY_TTL,min_objective_improvement,TED_combined,TED_passenger,TED_freight,delay_ratio,n_platform_switches,n_rescheduled,n_evaluated,n_skipped_no_improvement,total_steps,total_solve_time_s,mean_solve_time_s,trigger_rate_pct,trigger_rate_mc_pct,deadlock,ttl
17,TTL450,3600,1200,120,900,450.0,60,40913.50000000002,38984.400000000016,1929.100000000005,0.2795024462306766,14,45,0,48,10901,2.549131393432617,0.0566473642985026,0.41280616457205754,4500.0,False,450
18,TTL450,3600,1200,120,900,450.0,60,40815.89999999997,37748.399999999994,3067.49999999998,0.4589947833899866,16,43,0,50,10883,2.458045244216919,0.057163842888765554,0.39511164201047505,4300.0,False,450
19,TTL450,3600,1200,120,900,450.0,60,40914.79999999998,38714.200000000004,2200.59999999998,0.32106469040720254,13,45,0,49,10889,2.733823299407959,0.06075162887573242,0.41326108917255944,4500.0,False,450
20,TTL450,3600,1200,120,900,450.0,60,41479.59999999998,39215.89999999998,2263.699999999995,0.3260456505237315,17,41,0,53,10900,2.5528738498687744,0.06226521585045791,0.3761467889908257,4100.0,False,450
21,TTL450,3600,1200,120,900,450.0,60,39566.499999999935,37960.499999999956,1605.9999999999804,0.23896557598695084,13,44,0,51,10888,2.3361566066741943,0.05309446833350442,0.4041146216017634,4400.0,False,450
22,TTL450,3600,1200,120,900,450.0,60,38309.1,36135.1,2173.999999999999,0.33982240213854337,16,45,0,49,10871,2.5846221446990967,0.05743604765997993,0.4139453592125839,4500.0,False,450
23,TTL450,3600,1200,120,900,450.0,60,41569.299999999974,37757.69999999999,3811.5999999999867,0.5701951427882809,18,47,0,47,10898,2.6828556060791016,0.05708203417189578,0.4312717929895394,4700.0,False,450
24,TTL450,3600,1200,120,900,450.0,60,36273.99999999997,32937.99999999998,3335.9999999999945,0.5720718045692234,16,43,0,51,10858,2.380011796951294,0.055349111557006836,0.3960213667342052,4300.0,False,450
0,TTL900,3600,1200,120,900,900.0,60,43872.099999999984,39249.19999999999,4622.899999999993,0.6652814537663138,15,49,0,45,10905,2.7683727741241455,0.05649740355355399,0.4493351673544246,4900.0,False,900
1,TTL900,3600,1200,120,900,900.0,60,40668.800000000105,38195.60000000011,2473.199999999997,0.3657359302302684,14,41,0,54,10900,2.651650905609131,0.06467441233193003,0.3761467889908257,4100.0,False,900
2,TTL900,3600,1200,120,900,900.0,60,42152.19999999998,38583.999999999985,3568.2000000000007,0.5223524868248072,13,44,0,50,10884,2.586423635482788,0.058782355351881546,0.40426313855200297,4400.0,False,900
3,TTL900,3600,1200,120,900,900.0,60,40605.89999999998,37802.19999999998,2803.7000000000007,0.4189249175043656,13,44,0,49,10896,2.5642595291137695,0.05827862566167658,0.4038179148311307,4400.0,False,900
4,TTL900,3600,1200,120,900,900.0,60,39733.799999999974,37481.29999999999,2252.4999999999836,0.3394469265450238,13,40,0,54,10900,2.2269480228424072,0.05567370057106018,0.3669724770642202,4000.0,False,900
5,TTL900,3600,1200,120,900,900.0,60,39037.3,37081.1,1956.2000000000007,0.29797674541762514,16,49,0,45,10882,2.6889584064483643,0.054876702172415595,0.450284874104025,4900.0,False,900
6,TTL900,3600,1200,120,900,900.0,60,38967.09999999998,35236.39999999999,3730.699999999988,0.5980266285575551,17,47,0,47,10875,2.7101407051086426,0.0576625681938009,0.432183908045977,4700.0,False,900
7,TTL900,3600,1200,120,900,900.0,60,40698.499999999985,37002.5,3695.9999999999836,0.5641864115210485,17,44,0,50,10888,2.577833414077759,0.058587123047221794,0.4041146216017634,4400.0,False,900
8,TTL900,3600,1200,120,900,900.0,60,40934.599999999955,36833.29999999998,4101.2999999999765,0.628930468228057,15,43,0,50,10891,2.7302515506744385,0.06349422210870787,0.39482141217519057,4300.0,False,900
9,TTL900,3600,1200,120,900,900.0,60,40190.29999999998,37007.09999999999,3183.1999999999916,0.4858482012109278,15,50,0,44,10887,2.8829495906829834,0.05765899181365967,0.45926334160007354,5000.0,False,900
10,TTL900,3600,1200,120,900,900.0,60,37713.99999999997,34519.899999999994,3194.099999999978,0.5226376669689042,14,45,0,49,10888,2.611111879348755,0.05802470842997233,0.41329904481998525,4500.0,False,900
11,TTL900,3600,1200,120,900,900.0,60,40752.899999999994,37571.600000000006,3181.2999999999847,0.47826286607174057,15,46,0,48,10898,2.648862600326538,0.05758396957231605,0.42209579739401726,4600.0,False,900
12,TTL900,3600,1200,120,900,900.0,60,46385.39999999996,38881.89999999997,7503.499999999988,1.0900292062220867,18,50,0,44,10900,3.1632769107818604,0.06326553821563721,0.45871559633027525,5000.0,False,900
13,TTL900,3600,1200,120,900,900.0,60,40757.69999999998,37734.19999999999,3023.4999999999905,0.4525812448333649,13,47,0,47,10899,2.711794853210449,0.05769776283426488,0.4312322231397376,4700.0,False,900
14,TTL900,3600,1200,120,900,900.0,60,42383.299999999974,38502.899999999994,3880.399999999979,0.5692522832374606,16,45,0,49,10891,2.598261594772339,0.05773914655049642,0.4131851987879901,4500.0,False,900
15,TTL900,3600,1200,120,900,900.0,60,39510.99999999998,37283.09999999999,2227.8999999999837,0.33752457916220885,15,47,0,47,10887,2.659456491470337,0.05658418066958164,0.4317075411040691,4700.0,False,900
16,TTL900,3600,1200,120,900,900.0,60,40922.09999999998,38135.999999999985,2786.0999999999885,0.41265136688358683,15,42,0,52,10891,2.6578519344329834,0.06328218891507104,0.3856395188687908,4200.0,False,900
17,TTL900,3600,1200,120,900,900.0,60,40913.50000000002,38984.400000000016,1929.100000000005,0.2795024462306766,14,45,0,48,10901,2.549229621887207,0.05664954715304905,0.41280616457205754,4500.0,False,900
18,TTL900,3600,1200,120,900,900.0,60,40815.89999999997,37748.399999999994,3067.49999999998,0.4589947833899866,16,43,0,50,10883,2.4580237865448,0.05716334387313488,0.39511164201047505,4300.0,False,900
19,TTL900,3600,1200,120,900,900.0,60,40914.79999999998,38714.200000000004,2200.59999999998,0.32106469040720254,13,45,0,49,10889,2.7348058223724365,0.06077346271938748,0.41326108917255944,4500.0,False,900
