seed,label,RESCHEDULING_HORIZON,CONFLICT_WINDOW,trigger_strategy,event_driven_freq,controller_freq,threshold_confidence,mc_delay_per_train,TED_combined,TED_passenger,TED_freight,delay_ratio,n_platform_switches,n_rescheduled,n_evaluated,n_skipped_no_improvement,total_steps,total_solve_time_s,mean_solve_time_s,trigger_rate_pct,trigger_rate_mc_pct,deadlock
5,MC60,3600,1200,event_driven,900,900,0.6,60,40480.19999999996,38494.299999999974,1985.8999999999896,0.2913953894073015,130,62,95,0,10892,3.518471956253052,0.0567495476815008,0.569225119353654,65.26315789473685,False
6,MC60,3600,1200,event_driven,900,900,0.6,60,48176.799999999974,45067.8,3108.999999999979,0.3896512648659388,114,72,95,0,10908,4.571814060211182,0.063497417502933,0.6600660066006601,75.78947368421053,False
7,MC60,3600,1200,event_driven,900,900,0.6,60,39730.39999999999,37274.7,2455.6999999999825,0.3721198867558167,114,77,95,0,10874,4.152729272842407,0.0539315489979533,0.7081110906750047,81.05263157894737,False
8,MC60,3600,1200,event_driven,900,900,0.6,60,37737.50000000001,35713.100000000006,2024.3999999999985,0.3201772760394104,116,73,94,0,10862,4.007068872451782,0.0548913544171477,0.6720677591603756,77.6595744680851,False
9,MC60,3600,1200,event_driven,900,900,0.6,60,38826.599999999984,36487.899999999994,2338.699999999987,0.3620323449691522,101,70,95,0,10881,3.870936632156372,0.055299094745091,0.6433232239683853,73.68421052631578,False
10,MC60,3600,1200,event_driven,900,900,0.6,60,34986.79999999997,32271.19999999999,2715.599999999977,0.4753050316152982,142,70,95,0,10862,3.913827896118164,0.0559118270874023,0.644448536181182,73.68421052631578,False
11,MC60,3600,1200,event_driven,900,900,0.6,60,40364.89999999998,38027.79999999999,2337.099999999994,0.3471345341398295,118,73,95,0,10908,4.05426025390625,0.0555378116973458,0.6692335900256693,76.84210526315789,False
12,MC60,3600,1200,event_driven,900,900,0.6,60,45976.99999999998,40271.89999999999,5705.099999999991,0.8001711115942121,144,70,95,0,10876,3.997458934783935,0.057106556211199,0.6436189775652814,73.68421052631578,False
13,MC60,3600,1200,event_driven,900,900,0.6,60,41068.59999999999,37263.29999999999,3805.300000000004,0.5768053963946446,118,72,95,0,10885,3.836037397384643,0.0532782971858978,0.6614607257694074,75.78947368421053,False
14,MC60,3600,1200,event_driven,900,900,0.6,60,40797.19999999995,36713.49999999998,4083.6999999999744,0.6282749840351232,129,69,95,0,10880,3.8869996070861816,0.0563333276389301,0.6341911764705882,72.63157894736842,False
15,MC60,3600,1200,event_driven,900,900,0.6,60,40524.5,38571.29999999999,1953.2000000000105,0.2860251129612043,111,76,94,0,10877,4.059278964996338,0.0534115653288991,0.6987220741013147,80.85106382978722,False
16,MC60,3600,1200,event_driven,900,900,0.6,60,38659.600000000006,36495.90000000001,2163.699999999999,0.3348688061272212,124,63,95,0,10889,3.4810473918914795,0.0552547205062139,0.5785655248415833,66.3157894736842,False
17,MC60,3600,1200,event_driven,900,900,0.6,60,38775.80000000004,38143.700000000026,632.1000000000158,0.0936019074427274,118,74,94,0,10890,4.065084457397461,0.0549335737486143,0.6795224977043159,78.72340425531915,False
18,MC60,3600,1200,event_driven,900,900,0.6,60,41517.39999999999,38698.6,2818.799999999987,0.4114250548178372,132,73,95,0,10891,3.895457983016968,0.0533624381235201,0.6702782113671839,76.84210526315789,False
